'y-axis saved as y
'x,ear_i_0fillin_inbi_032821.xy,Bkg,Ycalc,Diff,Structure
5.01,296,268.845529,268.845529,27.1544713,0
5.025,269,268.706589,268.706589,0.293410851,0
5.04,282,268.567639,268.567639,13.4323613,0
5.055,296,268.428678,268.428678,27.5713224,0
5.07,299,268.289706,268.289706,30.7102942,0
5.085,280,268.150723,268.150723,11.8492766,0
5.1,285,268.011731,268.011731,16.9882694,0
5.115,303,267.872727,267.872727,35.1272725,0
5.13,311,267.733714,267.733714,43.2662858,0
5.145,299,267.594691,267.594691,31.4053093,0
5.16,283,267.455657,267.455657,15.5443427,0
5.175,315,267.316614,267.316614,47.683386,0
5.19,311,267.177561,267.177561,43.822439,0
5.205,307,267.038498,267.038498,39.9615017,0
5.22,325,266.899426,266.899426,58.100574,0
5.235,332,266.760344,266.760344,65.2396556,0
5.25,295,266.621253,266.621253,28.3787467,0
5.265,283,266.482153,266.482153,16.5178469,0
5.28,281,266.343044,266.343044,14.6569562,0
5.295,297,266.203925,266.203925,30.7960745,0
5.31,285,266.064798,266.064798,18.9352017,0
5.325,282,265.925662,265.925662,16.0743377,0
5.34,278,265.786518,265.786518,12.2134824,0
5.355,271,265.647364,265.647364,5.35263556,0
5.37,262,265.508203,265.508203,-3.50820279,0
5.385,300,265.369033,265.369033,34.6309672,0
5.4,255,265.229855,265.229855,-10.2298546,0
5.415,273,265.090668,265.090668,7.90933173,0
5.43,276,264.951474,264.951474,11.0485261,0
5.445,276,264.812272,264.812272,11.1877283,0
5.46,303,264.673062,264.673062,38.3269383,0
5.475,304,264.533844,264.533844,39.466156,0
5.49,298,264.394619,264.394619,33.6053813,0
5.505,287,264.255386,264.255386,22.7446141,0
5.52,287,264.116146,264.116146,22.8838542,0
5.535,294,263.976898,263.976898,30.0231015,0
5.55,275,263.837644,263.837644,11.162356,0
5.565,283,263.698382,263.698382,19.3016176,0
5.58,287,263.559114,263.559114,23.440886,0
5.595,292,263.419839,263.419839,28.5801613,0
5.61,278,263.280557,263.280557,14.7194433,0
5.625,283,263.141268,263.141268,19.8587319,0
5.64,303,263.001973,263.001973,39.9980269,0
5.655,296,262.862672,262.862672,33.1373284,0
5.67,289,262.723364,262.723364,26.2766361,0
5.685,273,262.58405,262.58405,10.4159501,0
5.7,295,262.44473,262.44473,32.55527,0
5.715,298,262.305404,262.305404,35.694596,0
5.73,322,262.166072,262.166072,59.8339277,0
5.745,318,262.026735,262.026735,55.9732653,0
5.76,301,261.887392,261.887392,39.1126084,0
5.775,293,261.748043,261.748043,31.2519571,0
5.79,296,261.608689,261.608689,34.3913112,0
5.805,290,261.469329,261.469329,28.5306707,0
5.82,282,261.329965,261.329965,20.6700353,0
5.835,309,261.190595,261.190595,47.8094051,0
5.85,285,261.05122,261.05122,23.9487798,0
5.865,284,260.911841,260.911841,23.0881594,0
5.88,271,260.772456,260.772456,10.2275439,0
5.895,273,260.633067,260.633067,12.3669329,0
5.91,263,260.493673,260.493673,2.50632662,0
5.925,288,260.354275,260.354275,27.6457248,0
5.94,291,260.214873,260.214873,30.7851273,0
5.955,272,260.075466,260.075466,11.924534,0
5.97,273,259.936055,259.936055,13.0639449,0
5.985,290,259.79664,259.79664,30.2033599,0
6,266,259.657221,259.657221,6.3427788,0
